meterId,serialNo,make,phaseType,installStatus,dtCode,latitude,longitude
J100056,L&73096,HPL,single,Installed,DT-017,26.858960750948267,75.8599042225142
J100057,SE22317,Allied,single,Installed,DT-018,26.79367193762921,75.76651899473295
J100058,AL86953,Secure,single,Decommissioned,DT-019,26.813750640808234,75.66295763894236
J100059,GE60515,Secure,three,Installed,DT-020,26.86420856040679,75.72388849195345
J100060,SE20579,L&T,single,Installed,DT-021,26.96016072414825,75.89961631529518
J100061,AL70649,Secure,single,Installed,DT-022,26.99715901739439,75.77622033996526
J100062,HP50895,Genus,single,Installed,DT-023,27.025506146105567,75.6766309039413
J100063,HP88012,L&T,three,Installed,DT-024,26.83832188291019,75.88909358226014
J100064,SE54727,L&T,single,Faulty,DT-025,27.006942038568763,75.77272174545583
J100065,HP43868,Genus,three,Decommissioned,DT-026,26.86649707631916,75.81763579944167
J100066,HP85563,Genus,single,Installed,DT-027,26.830953103809247,75.88988134343894
J100067,SE54695,HPL,three,Installed,DT-028,27.007424007314352,75.91221039704764
J100068,GE23103,L&T,single,Faulty,DT-029,26.85775886211088,75.75026766173328
J100069,GE45464,L&T,single,Installed,DT-030,26.98187858881904,75.71496092874808
J100070,HP99315,Secure,three,Installed,DT-031,26.957938505422884,75.88334820725508
J100071,GE16737,Genus,single,Installed,DT-032,26.80474339655377,75.75178600961594
J100072,GE14293,Secure,single,Installed,DT-033,26.903910365740398,75.90926199246682
J100073,SE15915,Secure,single,Installed,DT-034,27.01426083178269,75.85110813656142
J100074,GE58830,Allied,single,Installed,DT-035,26.84955309322579,75.68968729352132
J100075,AL30161,HPL,single,Installed,DT-036,26.98636564044757,75.77777843232984
J100076,SE66325,Genus,three,Decommissioned,DT-037,26.89100904131085,75.90473184679654
J100077,SE42317,HPL,three,Installed,DT-038,27.02608775193114,75.72898730109232
J100078,SE88635,Genus,single,Installed,DT-039,26.92576632546736,75.73047555974703
J100079,L&18497,Secure,single,Faulty,DT-040,26.90536518985648,75.7449232333784
J100080,HP78319,L&T,single,Faulty,DT-001,26.993871215118656,75.79331641065441
J100081,SE58025,Genus,three,Faulty,DT-002,27.03687098240955,75.82537683702326
J100082,GE70201,Allied,single,Installed,DT-003,27.03041389802713,75.760931099856
J100083,AL80783,Secure,single,Installed,DT-004,27.01717198334411,75.68021129226331
J100084,HP41062,Secure,single,Installed,DT-005,27.00496092773285,75.7741893250823
J100085,L&11577,Secure,single,Installed,DT-006,26.799325114144107,75.85415199809727
J100086,SE82374,Secure,single,Installed,DT-007,26.88090062214071,75.85356948009944
J100087,AL87529,L&T,single,Installed,DT-008,26.859551473956184,75.83779447459169
J100088,AL28934,HPL,three,Decommissioned,DT-009,27.026540864345247,75.70730025947346
J100089,HP38170,Allied,three,Installed,DT-010,26.948594720712958,75.74747311618198
J100090,GE84127,L&T,three,Decommissioned,DT-011,26.964433913554625,75.8017710977329
J100091,AL29103,HPL,three,Installed,DT-012,27.016122160216423,75.90974773260318
J100092,L&21671,Secure,single,Installed,DT-013,26.79582787959846,75.86574329724321
J100093,SE74056,Secure,three,Installed,DT-014,26.800532766762284,75.81371634410247
J100094,HP51638,Secure,three,Decommissioned,DT-015,27.013013185262775,75.68191015502457
J100095,HP15413,Secure,single,Installed,DT-016,26.955269560595138,75.83796448822618
J100096,AL72535,Secure,single,Decommissioned,DT-017,26.915519227360004,75.70207432614193
J100097,L&77130,Secure,single,Installed,DT-018,26.840773900882436,75.683714452116
J100098,AL81254,Allied,single,Installed,DT-019,26.887305082257466,75.90322161492445
J100099,SE75722,Secure,single,Installed,DT-020,27.01210396035351,75.70534407804739
J100100,AL52171,Secure,three,Decommissioned,DT-021,26.971611046085695,75.85467922900357
J100101,L&60373,Secure,single,Installed,DT-022,26.82723271017205,75.81509753849609
J100102,SE24788,Allied,single,Installed,DT-023,27.030038479918243,75.6908235370393
J100103,AL15201,Secure,single,Faulty,DT-024,26.951273827958016,75.911941229806
J100104,GE56633,HPL,single,Decommissioned,DT-025,26.87348499314869,75.86630232478278
J100105,SE31920,L&T,three,Faulty,DT-026,26.804477876545956,75.84242082402129
J100106,GE81683,Genus,three,Faulty,DT-027,26.8256871797774,75.73696374925571
J100107,L&53539,Allied,three,Installed,DT-028,26.94664385597464,75.8466031195458
J100108,AL42293,Genus,single,Installed,DT-029,26.90206764821671,75.87713745943988
J100109,GE86790,Secure,three,Decommissioned,DT-030,26.97937068765061,75.77478607968446
J100110,AL45487,Genus,three,Decommissioned,DT-031,27.00577066760054,75.88134659253778
J100111,AL34868,Genus,three,Decommissioned,DT-032,26.984184492989538,75.77307397759073
J100112,HP47246,HPL,three,Installed,DT-033,26.94170200879928,75.6891616459216
J100113,GE46526,Allied,single,Installed,DT-034,26.852311743276754,75.84794305640757
J100114,HP54061,HPL,single,Installed,DT-035,26.983198897126226,75.74673817670923
J100115,GE60587,L&T,three,Faulty,DT-036,26.907300033052547,75.8092117043307
J100116,HP79875,Genus,single,Installed,DT-037,26.9233317068127,75.74720101003554
J100117,GE65532,HPL,three,Faulty,DT-038,26.906836789187604,75.91104594941503
J100118,GE94954,Genus,single,Installed,DT-039,26.930814190912155,75.75150837723417
J100119,SE62174,Allied,single,Installed,DT-040,27.013673075735664,75.78819457968716
J100120,SE23266,HPL,single,Decommissioned,DT-001,26.825493643961476,75.76452416336183
J100121,GE18646,Secure,single,Installed,DT-002,27.027945137028677,75.69250506747998
J100122,L&20502,Allied,single,Installed,DT-003,26.846051373547038,75.88443405859657
J100123,AL82309,Secure,single,Installed,DT-004,26.950429685150834,75.77498380109687
J100124,AL49570,Secure,three,Installed,DT-005,27.008547584496068,75.73145555655724
J100125,GE64722,L&T,single,Decommissioned,DT-006,27.00930815152135,75.81488361690212
J100126,L&14240,Genus,three,Faulty,DT-007,26.994564630410263,75.7897835698423
J100127,HP42089,Allied,single,Installed,DT-008,26.928221526001675,75.71619564961661
J100128,AL27218,HPL,single,Decommissioned,DT-009,27.007573185109162,75.82757196689276
J100129,AL76188,Allied,single,Faulty,DT-010,26.99256946737189,75.89183307599528
J100130,AL64775,Allied,single,Decommissioned,DT-011,26.809264777198063,75.76518889042568
J100131,GE46952,L&T,single,Faulty,DT-012,26.79036011514729,75.70920853354987
J100132,GE83982,Allied,single,Decommissioned,DT-013,26.819899065215235,75.88091509105656
J100133,L&73667,L&T,three,Installed,DT-014,26.874731863178408,75.8336715402293
J100134,GE15223,HPL,single,Installed,DT-015,26.950833485256975,75.8917891467318
J100135,SE87649,Genus,three,Installed,DT-016,26.956041073803885,75.76158743925411
J100136,SE54061,Genus,single,Installed,DT-017,27.01231229255684,75.8732982657712
J100137,HP29170,L&T,single,Installed,DT-018,26.819318998924086,75.86376241551265
J100138,GE99735,L&T,single,Installed,DT-019,26.898825400304144,75.76374456778653
J100139,HP95472,HPL,single,Decommissioned,DT-020,26.89247883533137,75.69984716005642
J100140,L&19811,Secure,single,Installed,DT-021,26.952832898967994,75.78752460898617
J100141,HP87147,Allied,single,Decommissioned,DT-022,26.854547486202886,75.85264968566848
J100142,GE37070,Genus,single,Faulty,DT-023,26.864012866309007,75.87997245500814
J100143,AL20532,HPL,single,Installed,DT-024,26.96570119864084,75.80189176832577
J100144,HP88938,Allied,three,Installed,DT-025,26.983934223738128,75.68093927795785
J100145,AL96413,HPL,three,Faulty,DT-026,26.895461915554574,75.77367458501617
J100146,L&24684,Secure,three,Faulty,DT-027,26.846394752005676,75.7698612998684
J100147,AL51783,HPL,three,Decommissioned,DT-028,26.97446464918796,75.77368569371542
J100148,SE33726,HPL,single,Faulty,DT-029,26.954595117392113,75.8795456162516
J100149,HP40386,Genus,three,Installed,DT-030,26.93289198927125,75.73348173089111
J100150,SE36527,Allied,single,Installed,DT-031,26.81646574570807,75.72390176487174
J100151,AL33481,L&T,single,Installed,DT-032,26.85904651231142,75.66347268855684
J100152,HP33103,Genus,three,Decommissioned,DT-033,26.946261796197017,75.75008974582674
J100153,HP65722,Secure,single,Installed,DT-034,27.00216982353488,75.78927915366152
J100154,L&59073,HPL,single,Faulty,DT-035,26.936668826644404,75.9102366377811
J100155,L&19503,L&T,three,Installed,DT-036,26.96600173463123,75.69025884705847
J100156,GE74917,Allied,three,Installed,DT-037,26.848220725164378,75.80404464921234
J100157,HP13109,Allied,three,Installed,DT-038,26.866772080333998,75.7149510059135
J100158,L&16517,Secure,single,Faulty,DT-039,26.816632586384753,75.70285034270277
J100159,SE16700,Secure,single,Installed,DT-040,26.892812074597554,75.80417131257495
J100160,AL15252,Secure,single,Installed,DT-001,26.986727599257232,75.69093287786022
J100161,AL35701,HPL,three,Faulty,DT-002,26.97501075771181,75.81564131923737
J100162,HP32311,HPL,single,Faulty,DT-003,27.02344002024513,75.69415598022537
J100163,AL86695,Genus,single,Faulty,DT-004,26.8721479509539,75.9039131332866
J100164,L&33110,L&T,single,Installed,DT-005,26.931954059777876,75.9007691212792
J100165,L&86204,HPL,single,Decommissioned,DT-006,26.937499160382526,75.69426563338861
J100166,HP27187,Allied,single,Installed,DT-007,26.85646679098029,75.89545398482373
J100167,SE56313,Secure,single,Installed,DT-008,26.82616675281208,75.82642080504233
J100168,AL94630,Secure,three,Decommissioned,DT-009,26.952264065474832,75.75209291643482
J100169,SE57833,Allied,three,Installed,DT-010,27.012046898976063,75.74453572920542
J100170,L&26991,HPL,single,Installed,DT-011,26.941281921956783,75.71731542362618
J100171,SE23363,L&T,three,Installed,DT-012,26.801313182832768,75.7468211079577
J100172,GE60513,HPL,three,Decommissioned,DT-013,26.820991521671044,75.75371491306946
J100173,SE97241,HPL,three,Faulty,DT-014,26.852297058706267,75.70979772511423
J100174,GE50049,HPL,three,Faulty,DT-015,26.98202682795711,75.82782743839566
J100175,GE22774,Genus,three,Installed,DT-016,26.91938559416924,75.719052423523
J100176,L&21633,L&T,single,Installed,DT-017,26.810790345682857,75.69175742598968
J100177,HP13546,Genus,single,Installed,DT-018,27.034026832929907,75.87879010316469
J100178,SE46730,HPL,single,Decommissioned,DT-019,26.926511465890894,75.74719245944657
J100179,SE54860,Genus,single,Faulty,DT-020,26.88900566616105,75.80094822202595
J100180,HP83960,L&T,single,Installed,DT-021,26.93839912689766,75.77260963197118
J100181,SE22748,L&T,three,Decommissioned,DT-022,26.8657685449278,75.70588272708487
J100182,SE39101,HPL,three,Faulty,DT-023,26.857713348958736,75.69066664416827
J100183,GE84356,Secure,single,Installed,DT-024,26.977256074575802,75.78453192048259
J100184,L&99651,Genus,single,Decommissioned,DT-025,26.79310061657345,75.77719558592439
J100185,GE82252,L&T,single,Installed,DT-026,26.817779916657695,75.7062036336029
J100186,AL67347,L&T,single,Installed,DT-027,26.884568181673625,75.8703402323627
J100187,SE25173,Genus,single,Installed,DT-028,26.936908230097128,75.67222833735654
J100188,L&47410,L&T,single,Installed,DT-029,26.87739185037101,75.88106774582779
J100189,SE76592,Genus,single,Decommissioned,DT-030,26.79831866893694,75.74276331052901
J100190,SE78014,Genus,three,Installed,DT-031,26.925336431274285,75.86011811907888
J100191,L&24211,Secure,single,Installed,DT-032,26.807337142904384,75.86840409911024
J100192,L&49064,Secure,single,Installed,DT-033,27.016361999760942,75.71268685695036
J100193,GE31806,Allied,three,Faulty,DT-034,26.85615352433417,75.7991681168533
J100194,L&18718,HPL,three,Installed,DT-035,26.841456574648713,75.68901440062113
J100195,L&66830,L&T,single,Installed,DT-036,27.02886812700201,75.8607584799502
J100196,L&38798,HPL,single,Decommissioned,DT-037,26.969927468365153,75.66987958967006
J100197,SE40477,HPL,single,Installed,DT-038,27.031572027742026,75.81779711039057
J100198,GE31315,L&T,single,Faulty,DT-039,26.95305965814516,75.77971957732011
J100199,L&92217,L&T,single,Decommissioned,DT-040,27.025733375018557,75.84767606071914
J100200,GE97492,Genus,single,Faulty,DT-001,26.85241167622628,75.716893184439
J100201,GE71313,Genus,single,Installed,DT-002,26.838135714961776,75.81548913775264
J100202,SE25014,Secure,single,Decommissioned,DT-003,26.869900116084704,75.89043543508528
J100203,HP68667,L&T,single,Faulty,DT-004,26.95078501306018,75.68583857649723
J100204,AL18327,Genus,single,Installed,DT-005,26.972466612844823,75.84731092452789
J100205,SE11728,Allied,three,Installed,DT-006,26.9668140652637,75.68901408589231
J100206,HP91766,Allied,single,Faulty,DT-007,26.983626741245484,75.8533569400643
J100207,AL35413,Genus,single,Installed,DT-008,26.953403390622793,75.77473417212973
J100208,L&21843,Allied,single,Decommissioned,DT-009,26.81123513050154,75.7589083641979
J100209,SE75597,Genus,single,Installed,DT-010,26.926473930447923,75.80786264091516
J100210,HP96098,Genus,three,Installed,DT-011,26.82345170652736,75.88492325481279
J100211,AL10409,L&T,single,Faulty,DT-012,26.79677630957924,75.80086753217988
J100212,SE86091,Genus,three,Faulty,DT-013,26.851483343255335,75.7881479593671
J100213,AL97854,HPL,single,Faulty,DT-014,26.97392070366079,75.83313521990571
J100214,AL10685,HPL,single,Installed,DT-015,26.985646646730697,75.77524915265171
J100215,HP57411,Allied,single,Installed,DT-016,26.832114825984558,75.73066510344874
J100216,L&92015,HPL,single,Installed,DT-017,26.943004574712926,75.7836808824541
J100217,L&55852,Genus,single,Installed,DT-018,26.85163886062112,75.71149554811204
J100218,GE39438,Secure,single,Installed,DT-019,26.936323006549014,75.82915033822432
J100219,SE20412,Secure,three,Faulty,DT-020,26.859423461631035,75.90044292432508
J100220,GE17940,Genus,single,Decommissioned,DT-021,26.87563120436864,75.90832351029171
J100221,L&26784,Genus,single,Faulty,DT-022,26.864697411859037,75.69491660400313
J100222,SE59216,Genus,single,Faulty,DT-023,26.83585317156287,75.79876188465646
J100223,AL51422,L&T,single,Installed,DT-024,26.839923685677444,75.76779098381307
J100224,SE42740,L&T,three,Installed,DT-025,26.99728365984522,75.85349367026724
J100225,L&29969,Secure,three,Installed,DT-026,26.833480749132672,75.70113473877795
J100226,L&29637,HPL,single,Faulty,DT-027,26.84055277306363,75.71425983831072
J100227,SE80927,Secure,single,Installed,DT-028,26.892210615826865,75.6863286331391
J100228,GE77042,Secure,single,Installed,DT-029,26.825873101099955,75.81887679655124
J100229,HP91533,Genus,single,Decommissioned,DT-030,26.91520391209526,75.8722768560147
J100230,GE80358,Allied,single,Faulty,DT-031,26.927551773986874,75.69243435658068
J100231,AL77997,HPL,single,Installed,DT-032,26.873862275125088,75.87003724856554
J100232,SE89692,Genus,single,Decommissioned,DT-033,26.955065153101554,75.87919720306313
J100233,HP31018,L&T,single,Installed,DT-034,26.92158682239717,75.90939143443033
J100234,HP40902,L&T,three,Faulty,DT-035,26.8686052860274,75.69898841073523
J100235,SE25817,Genus,three,Installed,DT-036,26.852178690401,75.85882258855058
J100236,SE14808,HPL,single,Installed,DT-037,26.793853294015957,75.69286593047222
J100237,L&65753,Genus,three,Faulty,DT-038,27.01278045787951,75.85029210473662
J100238,L&96401,Secure,three,Installed,DT-039,26.90296465411559,75.7785314368994
J100239,SE43736,Allied,single,Faulty,DT-040,26.817611358389353,75.75608870448563
J100240,L&70110,L&T,single,Installed,DT-001,26.840757689001133,75.87184723568866
J100241,SE23186,L&T,three,Installed,DT-002,26.826995510868823,75.79881111110812
J100242,L&14527,L&T,single,Faulty,DT-003,26.980053717880605,75.80866371890083
J100243,L&82337,Secure,single,Installed,DT-004,26.94446429281272,75.76118126066653
J100244,HP75733,HPL,single,Decommissioned,DT-005,26.989363783649264,75.9090470940901
J100245,HP27560,HPL,three,Faulty,DT-006,26.799657382273676,75.82547075752886
J100246,GE77739,L&T,single,Installed,DT-007,26.877514870050458,75.74135065338128
J100247,SE39181,HPL,single,Installed,DT-008,26.919528165219912,75.85114425552096
J100248,AL71878,Genus,single,Faulty,DT-009,27.002022940693518,75.74450535865985
J100249,GE37437,Genus,single,Installed,DT-010,26.953772655832676,75.73864521770524
J100250,L&52514,HPL,three,Installed,DT-011,26.978987362904103,75.85359683822394
J100251,L&88850,Secure,single,Installed,DT-012,26.85704266789146,75.68074394073123
J100252,SE79066,HPL,single,Installed,DT-013,26.89618677776782,75.70792644608086
J100253,AL47424,Secure,single,Decommissioned,DT-014,26.805616364551337,75.82822234978453
J100254,L&98750,Genus,three,Installed,DT-015,26.808441750267615,75.78874226074917
J100255,SE41760,HPL,single,Decommissioned,DT-016,26.899677262087447,75.68498520736834
J100256,HP17516,Allied,three,Decommissioned,DT-017,26.8284726039554,75.66940043444997
J100257,GE15604,Allied,single,Faulty,DT-018,26.892120649949742,75.68419052471658
J100258,L&76707,Secure,single,Installed,DT-019,26.843248282296212,75.87431867057244
J100259,AL24641,L&T,single,Installed,DT-020,26.8469234913053,75.83407188862115
J100260,GE54237,Allied,single,Installed,DT-021,27.021345662504995,75.8348508280797
J100261,SE23192,Genus,single,Faulty,DT-022,26.825435264704378,75.6907272126737
J100262,L&61066,Genus,single,Installed,DT-023,26.81393452922823,75.90876942829713
J100263,HP54006,Secure,three,Installed,DT-024,26.97729891029196,75.76868803784969
J100264,AL59348,Allied,single,Installed,DT-025,26.828410409826414,75.6907367899294
J100265,AL67791,HPL,single,Faulty,DT-026,26.911588818270342,75.85476916938573
J100266,HP32982,HPL,single,Faulty,DT-027,26.872032573998535,75.87352875722358
J100267,AL39401,Genus,three,Decommissioned,DT-028,26.819353198369594,75.77717062147353
J100268,GE28179,Allied,single,Faulty,DT-029,27.012175545531885,75.8299098095486
J100269,L&90049,L&T,single,Installed,DT-030,26.817575701365808,75.72544134801505
J100270,HP60718,Allied,single,Installed,DT-031,26.87656413370753,75.75343864105893
J100271,HP19226,L&T,single,Installed,DT-032,26.79828210003218,75.76602876015026
J100272,HP26867,Secure,single,Decommissioned,DT-033,26.81113422693927,75.67174138155319
J100273,GE67873,L&T,three,Installed,DT-034,26.815325585804043,75.81585876507238
J100274,L&83299,HPL,single,Installed,DT-035,26.789799008895738,75.84780702126231
J100275,GE76450,HPL,single,Faulty,DT-036,26.793997578467337,75.79731508685295
J100276,HP98541,Genus,single,Installed,DT-037,26.801932839122696,75.6792284256408
J100277,L&60609,L&T,three,Faulty,DT-038,26.87886767377388,75.87296371136112
J100278,HP28849,Secure,three,Installed,DT-039,26.94720242798105,75.89221928324336
J100279,SE72466,HPL,single,Faulty,DT-040,26.960044584963565,75.6624789504313
J100280,SE15788,L&T,single,Faulty,DT-001,26.923869542572742,75.75961272800127
J100281,AL35703,Genus,three,Installed,DT-002,26.815272608508916,75.80905756439101
J100282,AL35777,Secure,single,Decommissioned,DT-003,26.987490888887645,75.74580581716513
J100283,AL69098,HPL,single,Faulty,DT-004,26.852997876731774,75.90457132089436
J100284,GE85543,HPL,three,Faulty,DT-005,27.021783375442123,75.70952791031236
J100285,GE70983,Allied,single,Installed,DT-006,26.99047577343192,75.66887197693363
J100286,GE73840,Allied,single,Installed,DT-007,26.802719326717874,75.69445763979824
J100287,AL45743,Allied,three,Decommissioned,DT-008,26.899973646707462,75.69516136651878
J100288,HP72706,Allied,single,Decommissioned,DT-009,26.867040376439785,75.90308718817327
J100289,L&23452,L&T,single,Installed,DT-010,26.956753606819642,75.89199413344981
J100290,GE59404,Secure,three,Installed,DT-011,27.004609568421824,75.76351047135908
J100291,AL32841,HPL,single,Installed,DT-012,27.030169504431637,75.78544254231751
J100292,GE44995,Genus,single,Installed,DT-013,26.93689859987246,75.83996752635362
J100293,L&75231,Allied,single,Installed,DT-014,26.833848724868243,75.67519057749091
J100294,HP69535,HPL,single,Installed,DT-015,26.99389339130614,75.66885404105783
J100295,GE39394,Allied,single,Installed,DT-016,26.870473009736838,75.72498740590895
J100296,AL30892,HPL,single,Installed,DT-017,27.011194404475486,75.7046766481108
J100297,L&47305,Genus,single,Faulty,DT-018,26.88038006037716,75.7782489681013
J100298,HP38489,L&T,three,Decommissioned,DT-019,26.99468570240317,75.78823071447918
J100299,GE52664,Secure,three,Faulty,DT-020,26.890522449887452,75.77518256396074
J100300,SE57060,Secure,single,Faulty,DT-021,26.939520366692545,75.74903658809858
J100301,HP46266,HPL,single,Installed,DT-022,26.98276693627015,75.90130076473365
J100302,AL93988,Genus,single,Decommissioned,DT-023,26.907850479793364,75.68884967096169
J100303,SE61776,HPL,single,Decommissioned,DT-024,26.822795917482676,75.76112866579574
J100304,AL48557,HPL,single,Installed,DT-025,26.904233712905647,75.87664218110517
J100305,HP20349,Secure,single,Installed,DT-026,26.921866517774856,75.88003878432578
J100306,GE59121,Secure,three,Installed,DT-027,26.98564811787112,75.86009951160308
J100307,SE81908,HPL,single,Installed,DT-028,26.829491501585675,75.78636805588398
J100308,HP52752,Genus,three,Installed,DT-029,26.99879171376126,75.8288704123443
J100309,SE45808,HPL,single,Installed,DT-030,26.907489969888797,75.70345197405918
J100310,GE27387,Genus,single,Decommissioned,DT-031,26.863788530549595,75.69742428305112
J100311,SE44990,Genus,three,Installed,DT-032,26.971202141109483,75.89181064631343
J100312,AL51373,HPL,single,Installed,DT-033,26.81948848612849,75.71022831960367
J100313,AL55614,Allied,single,Installed,DT-034,26.93771202201499,75.6852470038903
J100314,HP18124,Genus,single,Decommissioned,DT-035,26.846194715732803,75.67096449519526
J100315,HP38929,HPL,three,Installed,DT-036,26.79694513414763,75.8251546777065
J100316,HP97822,HPL,single,Installed,DT-037,26.930170248348826,75.71497239257228
J100317,AL94758,Allied,single,Installed,DT-038,27.021936055708306,75.83184413149506
J100318,SE52188,HPL,single,Installed,DT-039,26.916590071544146,75.80997101721373
J100319,AL88701,Genus,single,Installed,DT-040,26.815296938903725,75.8936552837004
J100320,AL75243,HPL,single,Decommissioned,DT-001,26.92331972680297,75.67809663908342
J100321,AL17283,Allied,single,Decommissioned,DT-002,26.819574558145927,75.71563768180572
J100322,GE57673,Genus,three,Decommissioned,DT-003,26.867721432847997,75.87870819875756
J100323,HP73404,Genus,single,Installed,DT-004,26.895550225889405,75.76171024903674
J100324,AL47426,L&T,single,Faulty,DT-005,26.89213142412957,75.86832943690028
J100325,L&81835,HPL,three,Installed,DT-006,26.86733779424578,75.8797727197853
J100326,L&73462,Allied,single,Faulty,DT-007,27.025651883827617,75.8080663543406
J100327,GE71515,Allied,single,Installed,DT-008,26.98609724882301,75.90427370948969
J100328,GE15643,Secure,three,Faulty,DT-009,26.834247513003742,75.72580637384458
J100329,HP78469,Allied,single,Installed,DT-010,26.834761559642015,75.83898900435092
J100330,L&30452,Secure,single,Installed,DT-011,26.88203619469898,75.82325250670333
J100331,AL66018,Allied,three,Installed,DT-012,26.962659564362934,75.84918540125732
J100332,L&32256,Secure,single,Faulty,DT-013,26.841763568488044,75.89498540966092
J100333,HP31259,Allied,single,Installed,DT-014,26.825365067487677,75.8604184364995
J100334,L&74215,L&T,single,Decommissioned,DT-015,26.868858526372446,75.88386598843867
J100335,SE35651,Secure,single,Faulty,DT-016,26.954803946281412,75.78397057790794
J100336,L&39046,Secure,single,Installed,DT-017,26.797071403968243,75.76916188167893
J100337,GE20782,HPL,single,Installed,DT-018,26.808879407208973,75.73643902325789
J100338,HP68432,Genus,single,Installed,DT-019,26.909185293275026,75.81656310064504
J100339,SE72029,Allied,three,Installed,DT-020,27.017833808639647,75.81706111497265
J100340,SE45614,Genus,single,Installed,DT-021,26.973705034207182,75.81714118281165
