meterId,serialNo,make,phaseType,installStatus,dtCode,latitude,longitude,first_kwh,last_kwh,first_kvah,last_kvah,avg_voltage,energy_records,kwh_consumption,kvah_consumption
J100011,SE48422,HPL,three,Decommissioned,DT-012,26.98581521786293,75.8113866226377,14377.5,14509.13,15527.7,15669.86,230.52818991097922,337,131.6299999999992,142.15999999999985
J100012,HP85710,Allied,single,Installed,DT-013,26.927220696029348,75.80744330035309,7513.51,7670.1,8114.59,8283.71,230.2225519287834,337,156.59000000000015,169.11999999999898
J100013,GE28127,Allied,three,Installed,DT-014,27.03114021816766,75.84009092746787,28025.5,28145.26,30267.54,30396.88,229.73293768545994,337,119.7599999999984,129.34000000000015
J100014,GE52551,Genus,three,Faulty,DT-015,27.03568318977961,75.83062514945418,36520.66,36606.07,39442.31,39534.56,229.80118694362017,337,85.40999999999622,92.25
J100015,L&34861,HPL,three,Installed,DT-016,26.808278881157843,75.77806976755168,14311.01,14379.49,15455.89,15529.85,229.70029673590506,337,68.47999999999956,73.96000000000095
J100016,GE61949,Genus,three,Installed,DT-017,26.89433879745668,75.71661557726115,43819.85,43897.11,47325.44,47408.88,230.71216617210683,337,77.26000000000204,83.43999999999505
J100017,GE52969,L&T,three,Installed,DT-018,26.942805953584703,75.74343775681704,20606.65,20777.28,22255.18,22439.46,229.81602373887242,337,170.62999999999738,184.27999999999884
J100018,GE50943,HPL,single,Faulty,DT-019,27.02353027989632,75.74833874320397,2525.15,2575.72,2727.17,2781.78,229.82492581602375,337,50.56999999999971,54.61000000000013
J100019,GE24621,L&T,single,Decommissioned,DT-020,27.010893030935065,75.83053253722396,44756.94,44935.88,48337.49,48530.75,230.20474777448072,337,178.93999999999505,193.26000000000204
J100020,AL20290,Allied,three,Installed,DT-021,26.85013563328432,75.77765593203735,17717.54,17894.54,19134.95,19326.1,229.72106824925817,337,177.0,191.14999999999782
J100021,SE66811,Allied,single,Installed,DT-022,26.85597731979108,75.7531070204896,1659.43,1722.25,1792.18,1860.03,230.4391691394659,337,62.819999999999936,67.84999999999991
J100022,HP89856,L&T,single,Faulty,DT-023,26.85494188978812,75.69114333772818,46665.46,46750.82,50398.7,50490.89,230.56676557863503,337,85.36000000000058,92.19000000000233
J100023,L&31862,Genus,single,Installed,DT-024,26.980352783429066,75.88968155943807,3609.85,3791.19,3898.63,4094.49,230.3145400593472,337,181.34000000000015,195.85999999999967
J100024,AL25079,HPL,single,Installed,DT-025,26.97879197160257,75.89617436382473,36026.38,36149.75,38908.49,39041.73,229.85163204747775,337,123.37000000000262,133.24000000000524
J100025,AL41376,Genus,three,Decommissioned,DT-026,26.835722086455306,75.79121357252374,48228.18,48299.45,52086.43,52163.4,229.44807121661722,337,71.2699999999968,76.97000000000116
J100026,L&27266,Allied,single,Faulty,DT-027,26.788124222569262,75.88858490655916,18401.18,18505.02,19873.28,19985.42,230.32937685459942,337,103.84000000000015,112.13999999999942
J100027,GE28315,Allied,single,Installed,DT-028,26.82000356571991,75.68887611569157,18821.57,18939.53,20327.3,20454.69,229.6854599406528,337,117.95999999999913,127.38999999999942
J100028,AL32322,Secure,single,Installed,DT-029,27.03159632385252,75.7191354043644,34266.84,34380.0,37008.18,37130.4,230.18397626112758,337,113.16000000000349,122.22000000000116
J100029,HP81571,Genus,three,Faulty,DT-030,26.87565086656725,75.68719877992775,2056.74,2116.01,2221.28,2285.29,229.7359050445104,337,59.27000000000044,64.00999999999976
J100030,GE11313,Allied,single,Installed,DT-031,26.859978929248268,75.87472422593059,21251.29,21401.12,22951.39,23113.21,229.7626112759644,337,149.8299999999981,161.8199999999997
J100031,AL32944,Genus,single,Faulty,DT-032,26.90050683412012,75.76792595003285,32128.97,32260.74,34699.29,34841.6,229.97626112759644,337,131.77000000000044,142.30999999999767
J100032,SE84140,Allied,three,Installed,DT-033,26.9271694820771,75.75485933266832,45854.3,45984.05,49522.65,49662.77,230.1186943620178,337,129.75,140.11999999999534
J100033,L&54551,HPL,single,Installed,DT-034,26.99666196750952,75.77171798251588,43192.89,43302.12,46648.32,46766.29,230.46290801186944,337,109.2300000000032,117.97000000000116
J100034,HP16518,L&T,three,Installed,DT-035,26.894290605238734,75.68666997380573,25176.25,25312.98,27190.35,27338.01,229.77448071216617,337,136.72999999999956,147.65999999999985
J100035,AL90270,HPL,three,Installed,DT-036,26.80618248731373,75.90365962751461,19783.54,19862.53,21366.22,21451.53,230.54896142433233,337,78.98999999999796,85.30999999999767
J100036,GE36524,Allied,three,Installed,DT-037,27.03358569482118,75.71084991822504,15697.4,15850.6,16953.19,17118.65,229.59050445103858,337,153.20000000000073,165.46000000000276
J100037,SE46344,L&T,single,Faulty,DT-038,26.79063881575605,75.70592233291613,23957.74,24138.75,25874.36,26069.85,230.16023738872403,337,181.0099999999984,195.48999999999796
J100038,HP58535,Allied,three,Faulty,DT-039,26.98274578418825,75.87184980491661,1856.92,1932.06,2005.47,2086.63,230.05637982195844,337,75.13999999999987,81.16000000000008
J100039,AL96955,Genus,single,Faulty,DT-040,26.98353473262871,75.77186959112082,20237.26,20369.12,21856.24,21998.65,230.35311572700297,337,131.86000000000058,142.40999999999985
J100040,AL53485,Secure,single,Installed,DT-001,26.84893778260341,75.71342736840965,5219.83,5281.86,5637.41,5704.41,229.25,8,62.029999999999745,67.0
J100041,AL61994,Secure,single,Installed,DT-002,27.02482647713516,75.8137638774679,28059.83,28120.35,30304.62,30369.97,230.5,8,60.5199999999968,65.35000000000218
J100042,SE45169,Secure,single,Faulty,DT-003,27.00014490567157,75.74596449933965,8823.56,8881.25,9529.44,9591.75,229.875,8,57.69000000000051,62.30999999999949
J100043,AL79965,Genus,three,Installed,DT-004,26.8436457650085,75.70541359592248,23980.26,24076.21,25898.68,26002.3,228.5,8,95.95000000000073,103.61999999999898
J100044,HP44211,Secure,single,Installed,DT-005,26.85587993237898,75.8167241689262,28112.13,28274.69,30361.1,30536.67,228.125,8,162.55999999999767,175.5699999999997
J100045,GE77151,Allied,three,Faulty,DT-006,27.017410082479568,75.77169267015783,21720.76,21808.04,23458.42,23552.68,231.25,8,87.28000000000247,94.26000000000204
J100046,AL11788,Secure,single,Decommissioned,DT-007,26.973315567097256,75.87694795933571,26545.32,26682.07,28668.94,28816.63,227.75,8,136.75,147.69000000000233
J100047,SE12845,Secure,three,Decommissioned,DT-008,26.88659656813145,75.86239808137547,6284.31,6412.23,6787.06,6925.21,228.875,8,127.91999999999916,138.14999999999964
J100048,AL78296,Allied,three,Faulty,DT-009,26.798749930486174,75.85150988182072,21915.0,21998.7,23668.2,23758.59,233.125,8,83.70000000000073,90.38999999999942
J100049,L&34156,HPL,single,Installed,DT-010,26.88529550304413,75.78219245482255,37562.9,37635.6,40567.93,40646.45,226.75,8,72.69999999999709,78.5199999999968
J100050,HP51466,Secure,single,Decommissioned,DT-011,26.91184227060769,75.76559774679849,13885.38,13964.94,14996.22,15082.13,229.625,8,79.56000000000131,85.90999999999985
J100051,L&36623,Secure,single,Installed,DT-012,26.86211623603488,75.83200127582317,29019.48,29179.41,31341.04,31513.76,230.375,8,159.9300000000003,172.71999999999753
J100052,AL37982,HPL,single,Faulty,DT-013,26.85058011978874,75.86381490863646,40711.82,40849.02,43968.76,44116.95,231.0,8,137.1999999999971,148.18999999999505
J100053,GE44903,Secure,single,Decommissioned,DT-014,26.8395805092576,75.68506833623182,6357.27,6531.13,6865.85,7053.62,232.75,8,173.85999999999967,187.76999999999953
J100054,AL82724,HPL,single,Decommissioned,DT-015,26.97314815208558,75.7097902355345,26203.49,26368.59,28299.76,28478.08,232.375,8,165.09999999999854,178.32000000000335
J100055,L&17672,Secure,three,Installed,DT-016,26.911105238685945,75.88213391256072,5542.31,5694.88,5985.7,6150.47,231.375,8,152.5699999999997,164.77000000000044
J100056,L&73096,HPL,single,Installed,DT-017,26.858960750948267,75.8599042225142,20100.14,20200.32,21708.16,21816.34,232.75,8,100.18000000000029,108.18000000000029
J100057,SE22317,Allied,single,Installed,DT-018,26.79367193762921,75.76651899473295,9798.15,9979.89,10582.0,10778.28,231.875,8,181.73999999999978,196.28000000000065
J100058,AL86953,Secure,single,Decommissioned,DT-019,26.813750640808237,75.66295763894236,36767.47,36814.78,39708.86,39759.97,233.625,8,47.30999999999767,51.11000000000058
J100059,GE60515,Secure,three,Installed,DT-020,26.86420856040679,75.72388849195345,27893.7,28026.61,30125.2,30268.74,225.0,8,132.90999999999985,143.54000000000087
J100060,SE20579,L&T,single,Installed,DT-021,26.96016072414825,75.89961631529518,31559.96,31614.43,34084.76,34143.58,229.375,8,54.470000000001164,58.81999999999971
J100061,AL70649,Secure,single,Installed,DT-022,26.99715901739439,75.77622033996526,48495.61,48600.19,52375.26,52488.21,230.0,8,104.58000000000175,112.94999999999709
J100062,HP50895,Genus,single,Installed,DT-023,27.025506146105567,75.6766309039413,12383.26,12459.13,13373.92,13455.86,233.5,8,75.86999999999898,81.94000000000051
J100063,HP88012,L&T,three,Installed,DT-024,26.83832188291019,75.88909358226014,13676.58,13822.55,14770.71,14928.35,229.625,8,145.96999999999935,157.64000000000124
J100064,SE54727,L&T,single,Faulty,DT-025,27.006942038568763,75.77272174545583,41766.48,41868.88,45107.8,45218.4,229.125,8,102.39999999999418,110.59999999999854
J100065,HP43868,Genus,three,Decommissioned,DT-026,26.86649707631916,75.81763579944167,39699.7,39765.95,42875.67,42947.23,228.75,8,66.25,71.56000000000495
J100066,HP85563,Genus,single,Installed,DT-027,26.830953103809247,75.88988134343894,38920.77,39063.74,42034.43,42188.84,229.5,8,142.97000000000116,154.40999999999622
J100067,SE54695,HPL,three,Installed,DT-028,27.007424007314352,75.91221039704764,12635.1,12702.7,13645.91,13718.92,229.625,8,67.60000000000036,73.01000000000022
J100068,GE23103,L&T,single,Faulty,DT-029,26.85775886211088,75.75026766173328,44951.99,45041.47,48548.15,48644.79,231.75,8,89.4800000000032,96.63999999999942
J100069,GE45464,L&T,single,Installed,DT-030,26.98187858881904,75.71496092874808,16390.9,16457.52,17702.17,17774.12,230.375,8,66.61999999999898,71.95000000000073
J100070,HP99315,Secure,three,Installed,DT-031,26.957938505422884,75.88334820725508,43186.05,43230.8,46640.93,46689.26,225.5,8,44.75,48.330000000001746
J100071,GE16737,Genus,single,Installed,DT-032,26.80474339655377,75.75178600961594,19616.54,19659.01,21185.87,21231.73,232.375,8,42.469999999997526,45.86000000000058
J100072,GE14293,Secure,single,Installed,DT-033,26.9039103657404,75.90926199246682,2958.33,3042.73,3194.99,3286.15,229.25,8,84.40000000000009,91.16000000000031
J100073,SE15915,Secure,single,Installed,DT-034,27.01426083178269,75.85110813656142,32841.72,32955.46,35469.06,35591.9,230.75,8,113.73999999999796,122.84000000000378
J100074,GE58830,Allied,single,Installed,DT-035,26.84955309322579,75.68968729352132,21314.21,21356.88,23019.35,23065.43,230.5,8,42.67000000000189,46.080000000001746
J100075,AL30161,HPL,single,Installed,DT-036,26.98636564044757,75.77777843232984,18628.48,18732.41,20118.76,20231.0,229.5,8,103.93000000000029,112.2400000000016
J100076,SE66325,Genus,three,Decommissioned,DT-037,26.89100904131085,75.90473184679654,37852.94,37996.27,40881.17,41035.97,230.0,8,143.32999999999447,154.8000000000029
J100077,SE42317,HPL,three,Installed,DT-038,27.02608775193114,75.72898730109232,47683.47,47758.18,51498.15,51578.83,231.75,8,74.70999999999913,80.68000000000029
J100078,SE88635,Genus,single,Installed,DT-039,26.92576632546736,75.73047555974703,31901.23,32031.56,34453.33,34594.08,229.5,8,130.33000000000175,140.75
J100079,L&18497,Secure,single,Faulty,DT-040,26.90536518985648,75.7449232333784,42731.05,42819.93,46149.53,46245.53,229.5,8,88.87999999999738,96.0
J100080,HP78319,L&T,single,Faulty,DT-001,26.993871215118656,75.79331641065441,4712.73,4773.52,5089.75,5155.4,226.25,8,60.79000000000087,65.64999999999964
J100081,SE58025,Genus,three,Faulty,DT-002,27.03687098240955,75.82537683702326,45081.74,45233.83,48688.27,48852.53,232.875,8,152.09000000000378,164.26000000000204
J100082,GE70201,Allied,single,Installed,DT-003,27.03041389802713,75.760931099856,6877.9,6957.91,7428.13,7514.55,228.625,8,80.01000000000022,86.42000000000007
J100083,AL80783,Secure,single,Installed,DT-004,27.01717198334411,75.68021129226331,30025.79,30114.9,32427.85,32524.09,226.75,8,89.11000000000058,96.2400000000016
J100084,HP41062,Secure,single,Installed,DT-005,27.00496092773285,75.7741893250823,13512.26,13614.3,14593.24,14703.44,232.625,8,102.03999999999905,110.20000000000073
J100085,L&11577,Secure,single,Installed,DT-006,26.799325114144107,75.85415199809727,21484.08,21616.19,23202.81,23345.49,227.375,8,132.10999999999694,142.6800000000003
J100086,SE82374,Secure,single,Installed,DT-007,26.88090062214071,75.85356948009944,45512.76,45636.86,49153.78,49287.81,227.5,8,124.09999999999854,134.02999999999884
J100087,AL87529,L&T,single,Installed,DT-008,26.859551473956184,75.83779447459169,34996.95,35040.15,37796.7,37843.36,234.0,8,43.200000000004366,46.66000000000349
J100088,AL28934,HPL,three,Decommissioned,DT-009,27.026540864345247,75.70730025947346,37952.83,37998.74,40989.06,41038.64,226.25,8,45.90999999999622,49.580000000001746
J100089,HP38170,Allied,three,Installed,DT-010,26.94859472071296,75.74747311618198,12678.83,12732.34,13693.14,13750.93,230.625,9,53.51000000000022,57.79000000000087
J100090,GE84127,L&T,three,Decommissioned,DT-011,26.964433913554625,75.8017710977329,12740.95,12854.16,13760.23,13882.49,231.125,8,113.20999999999913,122.26000000000022
J100091,AL29103,HPL,three,Installed,DT-012,27.016122160216423,75.90974773260318,31831.1,31961.7,34377.59,34518.64,227.75,8,130.60000000000218,141.0500000000029
J100092,L&21671,Secure,single,Installed,DT-013,26.79582787959846,75.86574329724321,36359.96,36443.33,39268.75,39358.8,226.625,8,83.37000000000262,90.05000000000291
J100093,SE74056,Secure,three,Installed,DT-014,26.800532766762284,75.81371634410247,14331.69,14415.6,15478.23,15568.85,229.625,8,83.90999999999985,90.6200000000008
J100094,HP51638,Secure,three,Decommissioned,DT-015,27.01301318526277,75.68191015502457,28189.13,28315.18,30444.26,30580.39,230.125,8,126.04999999999927,136.13000000000102
J100095,HP15413,Secure,single,Installed,DT-016,26.955269560595134,75.83796448822618,45226.79,45321.68,48844.93,48947.41,234.375,8,94.88999999999942,102.4800000000032
J100096,AL72535,Secure,single,Decommissioned,DT-017,26.915519227360004,75.70207432614193,32842.12,32904.55,35469.49,35536.92,229.375,8,62.43000000000029,67.43000000000029
J100097,L&77130,Secure,single,Installed,DT-018,26.84077390088244,75.683714452116,37123.96,37241.42,40093.88,40220.74,233.625,8,117.45999999999913,126.86000000000058
J100098,AL81254,Allied,single,Installed,DT-019,26.887305082257463,75.90322161492445,17508.99,17560.11,18909.71,18964.92,228.0,8,51.11999999999898,55.20999999999913
J100099,SE75722,Secure,single,Installed,DT-020,27.01210396035351,75.70534407804739,18516.53,18681.95,19997.85,20176.5,225.875,8,165.4200000000019,178.65000000000146
J100100,AL52171,Secure,three,Decommissioned,DT-021,26.97161104608569,75.85467922900357,20373.31,20415.4,22003.17,22048.63,230.5,8,42.090000000000146,45.460000000002765
J100101,L&60373,Secure,single,Installed,DT-022,26.82723271017205,75.81509753849609,7001.56,7168.82,7561.69,7742.33,228.0,8,167.2599999999993,180.64000000000033
J100102,SE24788,Allied,single,Installed,DT-023,27.030038479918243,75.6908235370393,40544.79,40635.12,43788.38,43885.93,228.75,8,90.33000000000175,97.55000000000291
J100103,AL15201,Secure,single,Faulty,DT-024,26.951273827958016,75.911941229806,29521.47,29609.87,31883.19,31978.66,233.125,8,88.39999999999782,95.47000000000116
J100104,GE56633,HPL,single,Decommissioned,DT-025,26.87348499314869,75.86630232478278,15691.55,15786.98,16946.88,17049.94,228.875,8,95.43000000000029,103.05999999999767
J100105,SE31920,L&T,three,Faulty,DT-026,26.80447787654596,75.84242082402129,35363.27,35519.18,38192.33,38360.71,228.625,8,155.9100000000035,168.37999999999738
J100106,GE81683,Genus,three,Faulty,DT-027,26.8256871797774,75.73696374925571,27673.58,27812.23,29887.46,30037.21,228.25,8,138.64999999999782,149.75
J100107,L&53539,Allied,three,Installed,DT-028,26.94664385597464,75.8466031195458,27591.05,27680.23,29798.33,29894.65,231.5,8,89.18000000000029,96.31999999999971
J100108,AL42293,Genus,single,Installed,DT-029,26.90206764821671,75.87713745943988,31477.61,31629.67,33995.82,34160.04,229.375,8,152.05999999999767,164.22000000000116
J100109,GE86790,Secure,three,Decommissioned,DT-030,26.97937068765061,75.77478607968446,2646.35,2741.41,2858.06,2960.73,228.25,8,95.05999999999995,102.67000000000007
J100110,AL45487,Genus,three,Decommissioned,DT-031,27.00577066760054,75.88134659253778,24904.99,25035.85,26897.38,27038.72,231.875,8,130.85999999999694,141.34000000000015
J100111,AL34868,Genus,three,Decommissioned,DT-032,26.984184492989534,75.77307397759073,9878.87,9989.92,10669.18,10789.11,227.25,8,111.04999999999927,119.93000000000029
J100112,HP47246,HPL,three,Installed,DT-033,26.94170200879928,75.6891616459216,12980.45,13079.2,14018.89,14125.53,229.25,8,98.75,106.64000000000124
J100113,GE46526,Allied,single,Installed,DT-034,26.852311743276758,75.84794305640757,16884.75,16983.59,18235.53,18342.28,231.5,8,98.84000000000015,106.75
J100114,HP54061,HPL,single,Installed,DT-035,26.983198897126226,75.74673817670923,40557.87,40644.87,43802.5,43896.46,231.125,8,87.0,93.95999999999913
J100115,GE60587,L&T,three,Faulty,DT-036,26.907300033052547,75.8092117043307,28598.19,28651.51,30886.05,30943.63,229.875,8,53.31999999999971,57.580000000001746
J100116,HP79875,Genus,single,Installed,DT-037,26.9233317068127,75.74720101003554,29094.44,29207.49,31421.99,31544.08,227.5,8,113.05000000000291,122.09000000000015
J100117,GE65532,HPL,three,Faulty,DT-038,26.906836789187604,75.91104594941503,6045.56,6156.82,6529.21,6649.36,230.75,8,111.25999999999931,120.14999999999964
J100118,GE94954,Genus,single,Installed,DT-039,26.930814190912155,75.75150837723417,12448.32,12622.5,13444.19,13632.31,224.0,8,174.1800000000003,188.11999999999898
J100119,SE62174,Allied,single,Installed,DT-040,27.013673075735664,75.78819457968716,41427.01,41593.5,44741.17,44920.98,232.625,8,166.48999999999796,179.81000000000495
J100120,SE23266,HPL,single,Decommissioned,DT-001,26.82549364396148,75.76452416336183,14305.74,14359.23,15450.2,15507.97,225.25,8,53.48999999999978,57.76999999999862
J100121,GE18646,Secure,single,Installed,DT-002,27.02794513702868,75.69250506747998,26560.86,26617.13,28685.73,28746.5,233.0,8,56.27000000000044,60.77000000000044
J100122,L&20502,Allied,single,Installed,DT-003,26.84605137354704,75.88443405859657,7680.68,7756.37,8295.14,8376.88,230.625,8,75.6899999999996,81.73999999999978
J100123,AL82309,Secure,single,Installed,DT-004,26.950429685150837,75.77498380109687,32599.88,32708.8,35207.87,35325.51,230.875,8,108.91999999999825,117.63999999999942
J100124,AL49570,Secure,three,Installed,DT-005,27.008547584496068,75.73145555655724,13170.54,13239.79,14224.18,14298.97,226.875,8,69.25,74.78999999999905
J100125,GE64722,L&T,single,Decommissioned,DT-006,27.00930815152135,75.81488361690212,13193.59,13304.25,14249.08,14368.59,232.25,8,110.65999999999985,119.51000000000022
J100126,L&14240,Genus,three,Faulty,DT-007,26.994564630410263,75.7897835698423,14208.05,14344.72,15344.69,15492.3,231.625,8,136.67000000000007,147.60999999999876
J100127,HP42089,Allied,single,Installed,DT-008,26.928221526001675,75.71619564961661,31229.45,31316.02,33727.81,33821.31,230.5,8,86.56999999999971,93.5
J100128,AL27218,HPL,single,Decommissioned,DT-009,27.00757318510916,75.82757196689276,43928.87,44100.78,47443.18,47628.84,231.75,8,171.90999999999622,185.65999999999622
J100129,AL76188,Allied,single,Faulty,DT-010,26.99256946737189,75.89183307599528,30833.46,30981.81,33300.13,33460.36,225.0,8,148.35000000000218,160.2300000000032
J100130,AL64775,Allied,single,Decommissioned,DT-011,26.809264777198063,75.76518889042568,14438.28,14565.89,15593.34,15731.16,230.25,8,127.60999999999876,137.8199999999997
J100131,GE46952,L&T,single,Faulty,DT-012,26.79036011514729,75.70920853354987,45714.89,45883.16,49372.08,49553.82,234.5,8,168.27000000000407,181.73999999999796
J100132,GE83982,Allied,single,Decommissioned,DT-013,26.819899065215235,75.88091509105656,14295.26,14389.99,15438.88,15541.19,231.875,8,94.72999999999956,102.31000000000131
J100133,L&73667,L&T,three,Installed,DT-014,26.874731863178408,75.8336715402293,2263.74,2348.57,2444.84,2536.46,231.875,8,84.83000000000038,91.61999999999989
J100134,GE15223,HPL,single,Installed,DT-015,26.95083348525697,75.8917891467318,46364.29,46417.94,50073.43,50131.38,231.75,9,53.650000000001455,57.94999999999709
J100135,SE87649,Genus,three,Installed,DT-016,26.956041073803885,75.76158743925411,42357.12,42529.11,45745.68,45931.44,229.875,8,171.98999999999796,185.76000000000204
J100136,SE54061,Genus,single,Installed,DT-017,27.01231229255684,75.8732982657712,35649.99,35753.76,38501.98,38614.07,232.0,8,103.77000000000407,112.08999999999651
J100137,HP29170,L&T,single,Installed,DT-018,26.81931899892409,75.86376241551265,31991.9,32093.22,34551.25,34660.68,227.75,8,101.31999999999971,109.43000000000029
J100138,GE99735,L&T,single,Installed,DT-019,26.898825400304144,75.76374456778653,16286.73,16331.08,17589.67,17637.57,230.625,8,44.350000000000364,47.900000000001455
J100139,HP95472,HPL,single,Decommissioned,DT-020,26.89247883533137,75.69984716005642,31449.84,31616.87,33965.82,34146.22,229.625,8,167.02999999999884,180.40000000000146
J100140,L&19811,Secure,single,Installed,DT-021,26.952832898967998,75.78752460898617,8056.36,8157.51,8700.87,8810.11,227.125,8,101.15000000000055,109.23999999999978
J100141,HP87147,Allied,single,Decommissioned,DT-022,26.85454748620289,75.85264968566848,46158.52,46256.98,49851.2,49957.54,230.625,8,98.4600000000064,106.34000000000378
J100142,GE37070,Genus,single,Faulty,DT-023,26.864012866309007,75.87997245500814,44802.37,44847.52,48386.56,48435.32,228.875,8,45.14999999999418,48.76000000000204
J100143,AL20532,HPL,single,Installed,DT-024,26.96570119864084,75.80189176832577,43723.84,43774.92,47221.74,47276.91,230.25,8,51.080000000001746,55.17000000000553
J100144,HP88938,Allied,three,Installed,DT-025,26.983934223738128,75.68093927795785,14824.59,14988.51,16010.56,16187.59,226.875,8,163.92000000000007,177.03000000000065
J100145,AL96413,HPL,three,Faulty,DT-026,26.895461915554574,75.77367458501617,18115.07,18287.35,19564.27,19750.34,233.625,8,172.27999999999884,186.0699999999997
J100146,L&24684,Secure,three,Faulty,DT-027,26.84639475200568,75.7698612998684,5946.91,6117.62,6422.66,6607.03,231.75,8,170.71000000000004,184.3699999999999
J100147,AL51783,HPL,three,Decommissioned,DT-028,26.97446464918796,75.77368569371542,12664.34,12751.18,13677.49,13771.28,234.625,8,86.84000000000015,93.79000000000087
J100148,SE33726,HPL,single,Faulty,DT-029,26.954595117392117,75.8795456162516,29896.18,30001.84,32287.87,32401.99,229.625,8,105.65999999999985,114.12000000000262
J100149,HP40386,Genus,three,Installed,DT-030,26.93289198927125,75.73348173089111,22410.14,22577.27,24202.95,24383.45,230.5,8,167.13000000000102,180.5
J100150,SE36527,Allied,single,Installed,DT-031,26.81646574570807,75.72390176487174,1816.53,1953.95,1961.85,2110.27,228.75,8,137.42000000000007,148.42000000000007
J100151,AL33481,L&T,single,Installed,DT-032,26.85904651231142,75.66347268855684,41532.18,41668.59,44854.76,45002.08,229.625,8,136.40999999999622,147.3199999999997
J100152,HP33103,Genus,three,Decommissioned,DT-033,26.946261796197017,75.75008974582674,8518.54,8577.14,9200.02,9263.31,232.5,8,58.599999999998545,63.289999999999054
J100153,HP65722,Secure,single,Installed,DT-034,27.00216982353488,75.78927915366152,4277.69,4360.68,4619.91,4709.54,232.25,8,82.99000000000069,89.63000000000011
J100154,L&59073,HPL,single,Faulty,DT-035,26.936668826644404,75.9102366377811,19730.83,19881.73,21309.29,21472.27,230.125,8,150.89999999999782,162.97999999999956
J100155,L&19503,L&T,three,Installed,DT-036,26.96600173463123,75.69025884705847,45108.26,45196.0,48716.92,48811.68,229.375,8,87.73999999999796,94.76000000000204
J100156,GE74917,Allied,three,Installed,DT-037,26.848220725164374,75.80404464921234,10813.6,10966.87,11678.69,11844.22,229.0,8,153.27000000000044,165.52999999999884
J100157,HP13109,Allied,three,Installed,DT-038,26.866772080334,75.7149510059135,1799.94,1941.44,1943.94,2096.76,230.5,8,141.5,152.82000000000016
J100158,L&16517,Secure,single,Faulty,DT-039,26.816632586384756,75.70285034270277,7338.06,7436.38,7925.1,8031.29,228.875,8,98.31999999999971,106.1899999999996
J100159,SE16700,Secure,single,Installed,DT-040,26.892812074597558,75.80417131257495,17800.35,17927.07,19224.38,19361.23,226.125,8,126.72000000000116,136.84999999999854
J100160,AL15252,Secure,single,Installed,DT-001,26.986727599257232,75.69093287786022,13770.58,13821.89,14872.23,14927.64,230.125,8,51.30999999999949,55.409999999999854
J100161,AL35701,HPL,three,Faulty,DT-002,26.97501075771181,75.81564131923737,38300.38,38400.32,41364.41,41472.34,227.375,8,99.94000000000233,107.92999999999302
J100162,HP32311,HPL,single,Faulty,DT-003,27.02344002024513,75.69415598022537,32290.39,32367.51,34873.62,34956.91,227.625,8,77.11999999999898,83.29000000000087
J100163,AL86695,Genus,single,Faulty,DT-004,26.8721479509539,75.9039131332866,7978.93,8092.43,8617.24,8739.82,233.0,8,113.5,122.57999999999993
J100164,L&33110,L&T,single,Installed,DT-005,26.93195405977788,75.9007691212792,35150.52,35325.37,37962.56,38151.4,230.0,8,174.85000000000582,188.84000000000378
